memory_matrix_accuracy,memory_matrix_avg_time,pattern_sequence_accuracy,pattern_sequence_avg_time,multi_switch_accuracy,switch_cost_ms,dual_task_memory_accuracy,dual_task_math_accuracy,cpt_accuracy,cpt_false_positives,keep_track_accuracy,operation_span_processing_accuracy,operation_span_storage_accuracy,find_the_box_accuracy,color_number_accuracy,color_number_false_clicks,rule_discovery_accuracy,average_rule_guesses,average_discovery_time_ms,overall_score,behavior_profile
83.74,2285.18,85.13,2005.62,88.34,610.22,89.1,98.17,89.64,6,80.05,92.16,72.23,83.12,83.89,7,92.14,2.83,4599.21,88.77,Inconsistent
50.57,1914.04,59.94,2189.42,47.18,657.55,56.21,41.56,49.82,11,40.35,41.36,46.17,35.25,48.03,8,42.58,4.85,6952.04,45.79,Inconsistent
99.33,1579.14,83.89,1353.29,89.28,374.41,90.69,98.17,82.1,2,97.68,85.78,100.0,89.86,77.13,1,85.19,2.6,4742.0,93.88,Efficient
100.0,1577.72,93.97,1160.0,97.02,516.54,98.2,83.41,91.77,1,91.26,75.57,98.88,85.11,98.0,0,85.75,3.13,4542.45,92.41,Efficient
62.32,1689.84,49.98,2001.17,54.14,609.61,68.05,47.0,64.88,6,57.75,44.11,56.81,66.24,78.82,7,77.16,3.73,6189.21,56.84,Inconsistent
55.06,1643.7,44.69,1157.37,38.03,607.51,44.21,56.56,60.84,9,61.7,48.28,57.57,38.8,62.29,6,54.69,3.94,6444.33,50.29,Inconsistent
83.07,1550.16,84.87,1611.15,100.0,352.35,83.36,91.4,95.86,3,99.93,97.83,100.0,89.82,97.14,0,100.0,2.41,5158.77,95.7,Efficient
89.97,1908.55,74.78,2037.91,84.93,298.52,87.67,100.0,90.12,0,100.0,94.61,77.8,100.0,99.18,1,75.65,2.36,5924.48,91.32,Careful
75.25,2179.29,73.57,1896.99,71.81,740.75,79.48,70.62,76.22,9,68.23,82.62,78.28,73.18,74.99,7,70.69,3.53,5481.23,71.73,Inconsistent
88.47,1717.75,94.48,1671.03,88.44,529.91,89.19,79.62,90.8,0,85.04,70.57,93.18,95.62,98.41,0,100.0,2.52,6064.06,88.43,Efficient
83.68,1035.76,95.17,1390.64,76.44,280.51,72.72,87.79,74.53,1,97.1,96.9,92.9,84.51,97.91,0,96.71,2.8,5214.66,86.13,Efficient
53.03,2094.29,53.58,1985.41,49.81,696.49,47.68,46.47,49.56,9,62.79,63.4,44.16,60.71,45.35,4,62.0,4.31,5819.36,56.78,Inconsistent
100.0,1119.7,93.99,1162.55,88.59,417.99,92.75,94.87,93.23,1,93.88,82.59,86.43,92.94,92.81,1,89.04,2.23,5359.7,93.28,Efficient
86.86,1135.13,80.76,1178.5,83.99,223.88,86.91,75.58,77.62,4,90.55,78.2,93.85,69.42,91.1,1,83.69,2.49,6708.58,82.19,Efficient
40.85,1775.76,39.59,1809.21,53.37,660.4,51.18,58.1,38.58,6,36.87,52.65,42.03,42.61,57.1,3,44.03,3.79,7298.82,50.85,Inconsistent
56.37,837.08,51.86,993.1,61.38,375.1,48.31,49.06,53.72,8,59.6,55.11,52.06,63.13,59.39,9,50.55,4.46,6224.4,55.41,Impulsive
32.44,1131.76,33.04,893.27,20.0,436.62,37.94,40.75,41.85,10,27.33,21.75,41.7,34.82,37.82,12,25.0,5.0,6001.21,32.74,Impulsive
96.86,1559.38,84.73,1046.1,100.0,378.91,100.0,93.97,93.17,2,100.0,94.29,88.85,79.97,99.76,2,95.39,2.12,5012.47,95.98,Efficient
56.56,1162.06,56.12,1351.09,49.36,434.61,62.21,59.22,52.3,10,68.75,58.51,45.45,64.4,51.46,5,53.15,3.47,6245.78,54.34,Impulsive
38.64,1222.56,49.97,1457.41,37.19,445.65,51.46,44.68,34.66,9,43.18,43.35,31.63,43.04,47.31,6,53.13,5.05,6275.58,47.31,Impulsive
70.13,1668.65,71.85,1327.14,81.67,538.21,64.01,66.89,60.08,5,66.22,55.69,73.58,70.96,65.38,1,66.7,3.59,4937.1,67.83,Inconsistent
62.59,1341.03,48.68,1479.14,53.81,536.55,64.44,61.99,58.73,1,59.12,59.0,54.17,64.83,52.26,0,47.06,3.67,5897.29,58.42,Inconsistent
37.4,1753.92,33.65,1740.85,24.06,592.35,25.75,36.01,35.36,2,32.17,32.08,31.44,33.19,36.77,2,36.71,4.59,7122.64,35.16,Inconsistent
53.8,1480.38,66.59,1244.8,53.47,410.14,64.83,56.91,47.94,8,70.1,70.54,57.96,64.33,65.64,5,66.37,3.25,6778.93,61.88,Impulsive
68.42,1338.68,67.69,1756.89,58.71,701.49,59.79,52.46,57.04,5,60.55,64.88,64.07,49.2,65.89,5,57.28,3.93,7088.94,62.62,Inconsistent
49.39,1237.74,65.78,874.87,43.27,408.91,47.83,69.93,54.86,6,36.54,48.23,54.77,61.67,61.24,8,55.13,4.17,6588.22,57.69,Impulsive
62.32,2070.61,69.75,1875.8,82.37,684.48,53.31,73.08,65.25,8,50.14,62.17,61.49,62.94,71.33,2,80.72,3.93,5335.44,62.92,Inconsistent
53.88,1334.85,44.55,1205.07,50.0,554.61,35.83,36.17,52.88,5,50.27,44.72,61.13,61.04,49.38,4,32.76,3.17,6820.8,42.67,Inconsistent
51.9,2862.69,69.36,2647.04,41.74,803.67,51.46,55.27,57.85,6,51.3,60.7,47.97,55.64,54.6,6,50.47,4.44,6633.61,54.93,Inconsistent
53.59,1054.66,45.49,1119.69,53.16,396.06,51.43,59.88,50.45,7,56.44,75.68,59.65,60.63,60.37,9,62.15,3.46,7007.22,54.4,Impulsive
55.72,1194.75,51.04,1219.84,77.64,528.08,55.99,49.97,46.47,10,65.18,51.94,48.41,57.43,59.94,8,60.44,4.4,6237.62,54.91,Impulsive
100.0,773.73,82.27,964.54,81.88,341.52,92.18,88.34,92.58,1,88.34,97.87,91.71,100.0,100.0,0,100.0,2.07,4591.06,92.05,Efficient
37.79,1226.53,61.53,1205.47,57.78,540.85,42.16,50.53,56.67,9,53.91,51.74,59.31,44.71,50.8,6,50.39,4.39,5801.68,50.93,Impulsive
59.88,1177.81,47.29,1139.83,72.31,173.02,64.63,53.49,68.37,12,79.78,73.24,80.35,53.88,65.7,5,66.9,4.09,5912.01,64.88,Impulsive
77.61,2049.79,85.28,2409.04,89.46,376.68,81.94,94.24,78.27,2,81.88,82.56,91.71,83.81,84.04,0,68.07,2.41,5025.18,87.37,Careful
91.31,1467.42,72.53,1730.47,74.96,695.58,85.33,65.92,88.41,7,85.76,87.96,85.23,79.48,72.26,4,79.51,3.26,5040.31,79.95,Inconsistent
100.0,1992.31,98.38,1673.8,99.67,528.18,97.25,92.15,96.18,2,92.65,100.0,94.57,84.22,82.76,1,80.65,2.57,4958.29,86.83,Careful
78.44,2049.17,76.78,1996.42,87.0,687.78,93.65,81.2,73.37,2,82.72,77.62,75.62,70.65,73.83,1,75.95,2.77,5096.81,77.11,Careful
54.31,1531.2,78.64,1742.31,68.75,685.23,52.37,75.2,68.64,4,55.31,64.7,55.0,68.65,64.39,3,56.64,3.76,5779.27,58.98,Inconsistent
47.66,1203.79,39.2,1087.66,22.46,208.6,36.5,57.51,41.79,7,37.88,34.33,46.32,42.18,41.49,6,49.45,4.45,8003.6,46.19,Impulsive
54.06,1159.84,61.68,1009.47,43.16,410.38,53.71,69.4,39.59,11,46.34,42.32,52.92,62.11,54.91,11,48.66,4.37,6601.65,56.87,Impulsive
45.26,1436.48,45.87,1133.59,44.0,487.06,55.25,43.1,35.65,6,49.6,46.9,44.44,56.42,27.26,5,63.32,3.63,5677.07,51.09,Inconsistent
61.68,2681.52,68.7,2371.01,62.79,711.13,66.46,55.35,68.26,8,51.4,49.89,63.55,62.84,66.7,7,58.68,3.81,6159.27,63.87,Inconsistent
100.0,1099.79,100.0,1288.39,96.61,526.07,100.0,100.0,100.0,2,100.0,100.0,100.0,100.0,100.0,1,100.0,2.27,4615.62,99.23,Efficient
76.27,2001.8,84.88,1852.39,79.09,315.44,61.8,65.55,79.33,0,82.56,61.11,78.17,70.7,69.96,0,72.94,2.47,5567.4,73.89,Careful
38.86,1137.95,34.82,963.24,24.66,504.15,38.46,36.71,37.66,11,35.01,29.63,26.16,32.27,44.67,9,39.9,4.28,5331.31,33.45,Impulsive
96.17,1215.39,100.0,1206.93,94.59,289.24,100.0,92.55,100.0,0,100.0,97.04,100.0,83.37,99.57,1,89.73,2.38,4712.22,98.09,Efficient
59.01,1704.92,57.48,1646.14,58.83,742.1,52.85,67.81,55.75,5,57.84,60.53,61.6,61.27,58.02,8,73.92,2.89,5921.71,55.88,Inconsistent
50.85,2131.67,48.98,1823.53,39.67,665.34,48.2,39.28,52.29,2,55.04,48.24,50.6,62.44,47.17,2,39.93,3.71,7275.03,51.55,Inconsistent
55.38,1789.12,48.3,1988.38,47.88,612.68,59.49,70.74,59.07,2,57.16,60.39,68.56,59.86,54.82,1,68.06,4.21,7364.03,57.65,Inconsistent
54.03,2197.69,43.68,2114.35,46.91,705.11,28.39,35.27,40.8,5,35.27,36.39,37.89,30.15,28.88,7,34.29,4.64,7544.49,36.91,Inconsistent
97.11,1016.17,89.21,901.27,100.0,246.63,100.0,100.0,100.0,1,94.0,99.5,100.0,100.0,100.0,4,95.72,3.04,5400.34,100.0,Efficient
88.46,1989.05,82.98,2015.54,93.0,528.95,96.38,82.16,90.3,0,79.11,74.05,76.89,77.54,80.95,0,100.0,2.98,6354.59,89.11,Careful
58.05,1768.83,56.65,1671.38,62.75,590.23,56.52,55.85,64.79,5,68.65,67.24,57.22,41.45,57.39,4,51.75,4.19,5622.68,58.43,Inconsistent
54.39,908.21,45.66,1222.16,54.94,400.71,55.93,59.41,46.52,11,57.59,34.5,59.85,49.28,49.45,9,31.14,4.62,6553.63,47.42,Impulsive
42.14,1372.38,40.59,1228.36,63.26,529.26,57.23,49.3,61.61,11,40.45,58.82,50.82,56.22,32.27,6,49.02,4.47,5888.87,50.18,Impulsive
95.46,1857.36,78.03,1639.94,100.0,475.94,87.83,85.93,88.36,0,100.0,98.51,86.65,89.51,94.97,2,99.86,2.48,4517.81,93.87,Careful
42.64,2276.6,54.55,2127.33,37.93,791.04,47.23,45.27,35.39,3,34.18,44.82,60.58,49.36,30.92,4,20.0,4.35,6591.79,40.18,Inconsistent
64.35,2085.41,69.52,1875.14,53.92,626.4,78.6,62.63,72.75,4,65.46,71.34,71.81,62.82,75.18,4,59.61,2.99,6086.43,67.01,Inconsistent
57.0,1419.23,46.94,1574.83,60.73,512.42,53.72,59.46,51.18,7,53.6,56.29,56.95,58.93,50.35,6,42.89,4.14,7064.52,50.76,Inconsistent
51.56,873.92,43.87,1322.84,46.59,414.31,54.35,58.13,41.56,9,56.1,40.44,48.26,48.85,42.7,7,45.0,4.55,6765.98,44.83,Impulsive
77.25,1502.91,83.81,1951.58,72.94,413.75,78.31,72.99,94.05,0,71.34,81.84,100.0,86.15,77.19,0,78.86,2.81,5818.89,84.03,Careful
98.58,1392.47,92.92,1543.37,97.44,474.15,93.06,100.0,91.17,3,94.8,93.76,88.52,94.07,100.0,0,88.4,2.86,3743.59,98.18,Efficient
20.0,1465.41,24.0,1457.58,20.5,620.96,20.0,20.0,21.16,0,30.82,20.0,20.0,20.0,20.93,2,20.0,4.76,7936.48,18.92,Inconsistent
89.8,2037.09,96.09,1746.75,82.99,542.07,82.86,97.91,97.19,2,86.95,91.35,100.0,100.0,90.98,0,94.4,1.86,5674.24,88.07,Careful
67.85,1301.78,58.57,945.44,63.38,645.03,69.65,69.98,57.12,11,72.26,65.53,75.98,77.54,78.69,9,53.02,3.42,6040.0,65.2,Impulsive
85.75,1343.45,82.02,1373.64,100.0,438.49,84.08,86.02,85.4,0,85.33,88.17,94.91,90.78,96.16,4,96.94,2.5,5109.97,86.44,Efficient
84.34,1071.02,74.12,1042.95,86.17,498.48,95.74,93.45,97.24,1,94.04,87.84,86.87,94.58,78.83,0,62.48,2.34,4641.77,85.35,Efficient
76.71,2168.09,71.86,2117.1,78.61,650.19,78.72,66.8,72.66,0,70.42,82.31,73.44,84.86,85.3,0,73.63,3.33,6401.81,73.81,Careful
46.89,2241.23,39.58,2116.45,49.51,522.01,35.13,40.51,37.51,7,46.43,58.65,47.1,43.34,42.57,4,38.93,3.82,7077.31,42.13,Inconsistent
30.03,1327.25,26.13,1785.7,32.04,527.28,45.17,39.15,27.62,6,37.94,46.52,44.48,45.68,41.44,8,23.5,4.96,7064.39,36.51,Inconsistent
62.4,2135.51,72.77,1968.86,59.8,639.92,63.9,75.82,71.1,1,68.42,67.93,68.89,61.84,56.04,3,73.29,3.4,6384.44,69.22,Inconsistent
36.41,1373.56,43.58,1238.94,48.18,462.2,47.01,45.15,43.66,10,43.21,43.35,53.44,47.79,73.13,8,44.8,3.42,6013.31,46.5,Impulsive
93.67,1614.18,92.34,1720.15,98.42,404.66,94.23,100.0,95.87,0,100.0,93.22,97.59,87.89,85.54,1,100.0,3.16,5541.11,90.52,Efficient
28.71,1163.76,40.2,1660.64,37.42,694.9,31.73,23.77,22.79,4,23.41,31.05,31.21,25.74,37.97,4,34.41,4.26,7431.87,30.62,Inconsistent
61.1,2437.27,53.27,2744.63,56.42,891.64,64.61,45.77,61.8,9,71.52,55.59,51.22,61.23,59.63,8,56.98,3.81,5156.36,59.14,Inconsistent
100.0,974.07,85.33,1365.29,97.7,420.98,90.61,94.93,86.96,3,93.29,95.95,85.64,100.0,81.04,1,98.23,2.42,5369.2,94.95,Efficient
62.93,2082.76,78.65,1580.3,65.95,711.28,69.93,65.1,61.66,2,61.34,73.89,71.22,53.33,55.25,1,54.5,3.02,6812.8,64.46,Inconsistent
41.3,1138.37,38.29,1105.7,46.4,456.27,50.53,57.92,39.79,11,43.67,55.62,62.0,38.27,40.3,6,49.65,4.87,6360.47,46.38,Impulsive
88.38,1371.68,100.0,1596.09,100.0,357.3,94.25,93.28,100.0,0,94.54,77.2,95.24,99.79,100.0,3,88.1,2.36,5590.21,91.31,Efficient
66.67,1248.3,78.93,1009.96,48.57,526.29,63.15,51.94,66.74,8,53.12,55.23,55.92,60.02,63.22,8,64.98,3.48,5106.64,61.56,Impulsive
97.51,1927.78,90.76,2281.13,95.88,598.5,99.72,90.72,94.59,0,100.0,89.75,84.5,90.25,88.24,0,89.91,2.32,4460.49,95.53,Careful
45.31,1203.35,51.88,1221.23,52.72,663.74,49.36,64.68,59.16,10,44.27,62.62,63.84,48.75,50.11,7,49.29,3.74,5952.98,52.41,Impulsive
87.62,1092.14,81.03,494.51,85.12,435.44,86.87,89.94,93.85,0,96.16,88.55,100.0,88.85,76.25,0,88.72,2.09,5610.86,90.52,Efficient
86.9,815.31,85.6,1090.77,73.62,275.22,70.09,82.59,73.57,3,90.12,64.68,82.86,80.88,76.67,0,69.99,3.17,4938.77,79.81,Efficient
37.79,830.11,31.78,995.18,30.9,350.1,47.18,50.89,32.52,7,20.0,37.9,30.81,32.39,36.14,9,41.74,4.41,6289.17,33.32,Impulsive
60.41,1064.83,60.15,1245.01,64.2,499.96,52.34,61.08,59.3,10,52.57,54.02,63.78,72.18,63.26,7,54.25,4.38,5776.3,57.39,Impulsive
74.7,1484.38,78.3,1322.48,67.66,263.11,88.43,85.08,76.41,3,94.71,87.19,82.62,79.67,78.36,1,76.36,2.44,6654.05,76.92,Efficient
50.31,1115.64,58.58,1261.73,57.19,382.95,66.23,55.67,71.8,12,55.49,51.16,69.99,64.92,63.22,8,57.96,3.74,5846.43,57.15,Impulsive
78.22,1193.44,79.17,1356.4,83.86,212.97,93.99,76.17,75.88,3,69.39,81.25,69.18,76.71,73.15,1,90.09,2.81,6873.94,81.11,Efficient
67.34,1296.25,78.6,1349.99,45.63,755.38,71.51,78.65,69.66,4,63.35,71.17,63.3,68.33,64.66,2,65.0,4.82,5647.61,66.18,Inconsistent
81.08,1929.43,98.39,1811.0,93.62,453.35,89.54,90.1,95.82,3,86.86,96.38,100.0,100.0,100.0,1,94.84,2.63,4423.13,96.95,Careful
70.39,1988.05,60.61,2364.83,80.32,720.6,66.22,73.49,71.6,2,80.86,64.38,68.73,56.67,68.71,2,78.15,2.59,5421.11,67.21,Inconsistent
54.5,1797.37,56.12,2156.39,55.99,606.32,61.81,53.81,65.03,5,56.12,70.83,58.49,62.51,66.23,6,69.29,4.04,6416.2,58.04,Inconsistent
72.5,699.07,87.04,960.78,79.74,480.84,87.55,73.07,79.02,1,89.04,97.39,76.7,73.97,90.15,1,70.62,2.93,5220.5,76.43,Efficient
54.57,1546.03,55.87,1726.27,64.18,673.72,46.38,41.44,62.7,8,54.98,60.81,61.19,62.57,51.31,6,48.49,3.97,6996.69,55.91,Inconsistent
73.39,939.96,81.42,786.41,85.51,371.18,79.41,90.04,95.3,1,73.86,73.26,74.41,94.28,89.77,1,80.21,3.12,5449.99,82.43,Efficient
97.34,1246.69,67.98,1068.21,86.62,327.59,89.93,90.88,86.28,3,74.46,91.14,100.0,76.24,95.42,2,85.56,3.33,5960.33,87.44,Efficient
98.69,1537.22,84.96,1313.78,97.31,341.98,87.28,91.07,97.12,3,100.0,86.97,86.35,100.0,89.7,0,63.5,2.94,4254.72,89.22,Efficient
69.09,1001.79,55.16,875.07,49.56,400.48,67.81,56.27,63.93,13,65.28,66.3,71.82,70.98,65.88,8,60.34,3.9,5411.83,65.71,Impulsive
87.17,836.03,80.52,1277.01,87.51,163.54,77.67,73.42,82.44,1,83.99,77.52,90.27,87.33,84.28,1,69.77,2.67,5582.19,83.37,Efficient
56.27,2608.56,63.13,2331.47,67.79,821.34,55.55,69.57,71.94,9,68.26,53.13,57.37,64.67,63.67,7,63.6,3.77,5631.1,61.91,Inconsistent
80.67,2207.56,69.34,2265.85,68.64,798.52,62.04,81.41,63.7,4,85.74,69.39,63.17,55.78,67.88,3,68.91,3.64,5293.39,71.73,Inconsistent
38.78,1553.76,39.17,1640.73,34.23,560.82,39.62,34.35,39.9,7,36.83,26.15,23.0,20.29,34.11,10,44.87,4.09,6200.27,32.82,Inconsistent
74.32,1703.17,76.66,1774.45,70.79,375.01,79.03,67.29,73.17,0,57.27,84.36,73.57,80.34,78.8,0,79.93,2.73,6716.23,75.34,Careful
53.37,1254.48,41.49,1176.5,50.65,406.67,47.22,54.35,53.81,6,30.48,56.87,50.63,44.36,44.58,8,48.89,4.1,8011.43,49.01,Impulsive
86.27,1118.56,89.34,1305.8,89.72,360.33,97.09,92.18,87.85,2,99.32,100.0,93.79,96.28,86.87,2,89.91,1.75,5889.89,86.36,Efficient
84.35,2091.89,92.37,1728.26,84.86,466.2,78.95,82.85,71.53,0,82.72,80.63,76.36,77.82,80.55,1,92.76,2.77,5508.12,83.6,Careful
86.87,1824.8,92.14,2181.19,70.92,372.58,82.37,89.59,93.98,2,88.89,98.96,94.23,83.38,86.17,2,90.97,2.57,4972.45,87.68,Careful
100.0,1462.03,89.9,1439.28,88.33,302.8,82.6,85.49,88.45,3,90.75,93.98,88.0,93.98,99.13,1,99.2,3.06,5285.11,94.91,Efficient
60.53,1091.27,53.66,1237.39,49.94,332.3,62.44,44.55,67.96,11,41.74,49.98,66.22,57.93,59.68,10,52.03,3.94,6498.92,57.23,Impulsive
97.35,1205.77,89.09,1282.3,93.78,521.03,83.73,87.42,98.33,0,92.12,100.0,96.34,83.86,92.74,1,100.0,3.09,4721.73,95.93,Efficient
53.29,1173.5,47.09,1188.06,57.53,603.29,52.99,36.03,47.48,3,39.2,56.49,47.07,41.11,30.13,1,56.87,3.98,6207.82,47.3,Inconsistent
61.36,1369.77,55.4,1100.2,55.37,424.91,72.1,48.64,62.82,8,73.76,65.39,49.26,49.66,53.9,8,61.33,4.63,5445.51,56.75,Impulsive
90.18,1973.62,100.0,2160.95,94.19,550.35,100.0,100.0,90.3,0,100.0,96.71,100.0,87.96,95.79,2,100.0,2.5,3895.86,95.93,Careful
96.45,1882.02,95.5,1677.81,93.53,633.46,98.68,95.89,97.87,2,91.66,100.0,100.0,98.15,97.76,4,100.0,2.85,4500.11,100.0,Careful
77.07,1805.58,77.94,1475.48,65.6,542.4,81.33,79.71,75.87,0,79.72,76.44,77.48,81.42,76.27,2,71.08,3.49,5689.81,78.46,Careful
94.09,1863.83,70.99,1620.53,100.0,311.58,100.0,100.0,86.48,2,99.8,100.0,86.89,100.0,95.8,1,76.82,3.11,5162.9,93.72,Careful
64.78,2070.29,74.22,2144.06,58.9,628.32,69.03,62.27,66.85,12,73.17,61.1,76.5,67.34,80.11,9,57.03,3.23,5170.57,65.28,Inconsistent
93.9,1317.4,100.0,1064.11,73.41,326.47,95.49,79.45,91.6,0,92.37,97.71,93.42,100.0,100.0,3,89.96,2.39,3611.47,93.51,Efficient
100.0,899.76,95.78,1140.93,100.0,405.96,97.52,100.0,94.84,1,100.0,97.81,100.0,100.0,82.46,0,97.91,2.42,3998.81,97.94,Efficient
87.2,1267.57,99.57,1228.47,78.12,552.16,98.6,86.92,93.55,0,96.43,93.83,100.0,89.36,81.75,0,100.0,2.0,4950.31,87.88,Efficient
83.72,1125.99,91.73,1324.06,100.0,390.19,83.99,88.9,92.07,1,84.11,100.0,85.21,77.88,84.79,1,94.87,2.85,5616.24,87.74,Efficient
38.97,1042.2,34.61,1302.79,33.72,402.98,40.78,58.04,45.22,11,31.17,47.49,35.76,41.79,37.12,8,60.03,4.9,7280.36,39.73,Impulsive
95.25,1394.67,100.0,1682.38,84.99,345.17,100.0,86.97,100.0,3,72.17,82.62,97.56,97.7,95.12,0,100.0,2.18,4373.44,92.88,Efficient
53.54,1130.81,57.73,1021.94,54.6,657.17,51.13,56.62,58.37,8,48.96,52.93,62.7,44.59,67.85,7,41.36,3.86,6412.12,53.46,Impulsive
78.36,1122.66,88.25,1209.48,83.59,345.79,97.76,71.89,78.37,1,68.5,84.14,100.0,82.63,83.8,2,87.94,3.18,6043.49,86.29,Efficient
100.0,1421.77,89.73,1323.05,85.64,95.73,100.0,99.88,98.69,6,100.0,89.7,78.03,83.72,93.97,1,99.27,2.88,5135.85,93.61,Efficient
84.23,1459.76,99.18,1502.79,97.57,364.68,92.21,83.79,73.47,0,84.62,71.33,67.16,91.19,95.39,3,68.46,2.21,4184.29,81.21,Efficient
65.26,1906.3,53.82,2249.77,56.51,655.4,62.42,56.54,54.56,6,56.11,63.5,51.05,55.34,56.43,5,64.13,3.23,5594.37,56.66,Inconsistent
71.26,1647.16,84.18,1696.38,49.78,670.63,69.02,72.6,68.29,5,71.38,78.47,64.75,86.55,57.0,6,74.46,4.12,5550.26,69.09,Inconsistent
55.25,946.13,58.93,880.24,63.83,411.16,59.93,43.22,60.01,6,54.93,63.39,50.57,44.05,52.7,7,60.73,4.75,6519.56,58.69,Impulsive
37.23,1042.27,51.79,1184.93,35.06,338.65,41.79,35.42,32.91,11,28.44,30.63,42.78,48.56,42.75,8,34.93,4.13,7946.52,35.5,Impulsive
55.26,2443.12,56.2,2299.22,54.95,789.1,45.24,64.44,48.9,8,33.62,60.06,59.8,43.71,53.23,6,62.99,3.44,6182.7,55.68,Inconsistent
100.0,1920.76,100.0,1783.01,95.45,485.96,94.45,99.58,100.0,0,97.58,100.0,100.0,100.0,100.0,4,100.0,2.0,4935.16,95.24,Careful
91.08,1309.1,90.36,1337.38,80.87,515.07,66.81,88.95,78.38,0,83.62,87.66,78.07,91.51,78.24,0,86.13,2.73,7368.95,87.28,Efficient
92.67,1983.49,98.44,1808.08,100.0,571.23,83.12,100.0,88.46,3,93.34,89.76,97.65,95.06,99.73,1,100.0,2.76,4008.73,95.83,Careful
48.1,1421.43,63.99,1400.15,60.7,420.93,52.6,64.54,58.02,8,66.37,49.94,50.69,60.55,56.69,6,43.19,4.1,7139.38,63.03,Impulsive
36.84,1671.74,39.34,1409.33,28.55,659.37,31.91,51.69,36.64,11,30.74,33.82,46.02,21.63,39.47,8,59.6,4.84,8048.31,34.37,Inconsistent
94.9,1515.68,88.56,1336.72,85.51,347.88,94.87,97.64,80.59,3,84.53,71.8,81.01,100.0,80.1,2,92.78,3.48,3615.26,88.88,Efficient
91.14,1929.34,95.8,1579.64,94.84,384.75,86.97,92.76,93.5,0,97.03,100.0,85.66,81.41,100.0,0,79.16,2.14,4194.24,93.43,Careful
69.82,617.05,82.04,1057.08,88.21,208.62,79.56,90.84,88.24,4,76.32,94.21,81.81,81.84,82.24,3,82.07,3.2,5413.92,80.05,Efficient
64.55,1332.22,52.35,1374.76,60.62,529.71,66.78,66.72,71.88,8,79.65,77.04,72.25,63.75,59.95,8,65.1,4.14,6368.64,66.03,Impulsive
97.9,1147.32,82.93,1185.37,100.0,269.32,80.64,85.65,100.0,0,93.44,85.22,92.59,96.13,93.18,1,100.0,2.16,5362.9,94.89,Efficient
94.38,1448.48,84.16,1327.85,89.02,458.29,76.26,78.48,76.79,5,96.04,85.59,89.98,92.4,94.68,0,100.0,2.32,3737.52,83.16,Efficient
95.07,1665.3,96.57,1997.03,95.35,602.96,93.15,85.93,97.12,0,98.36,96.2,95.48,100.0,89.59,2,100.0,2.58,4442.43,94.6,Careful
55.73,1187.88,45.72,1178.69,51.11,654.6,52.33,61.56,55.22,8,51.89,72.39,48.47,57.92,60.95,5,57.24,3.27,6353.08,59.39,Inconsistent
94.46,1034.1,84.6,1167.71,66.73,265.04,87.7,88.47,89.14,3,86.5,81.07,86.01,100.0,87.63,0,93.84,2.8,5480.72,87.89,Efficient
78.34,1204.3,87.71,1208.77,85.08,391.54,74.95,82.62,73.71,2,66.39,82.92,83.39,69.4,77.74,0,68.21,3.72,5969.31,79.74,Efficient
55.03,1139.76,59.57,1102.79,48.03,561.86,50.69,57.13,35.68,7,49.57,48.58,53.38,43.97,59.15,10,43.74,4.76,6115.2,52.51,Impulsive
69.42,1898.21,84.6,2375.38,73.35,476.56,59.09,83.97,70.15,2,90.07,85.0,74.0,79.5,95.21,0,84.82,2.37,5636.1,78.73,Careful
58.86,1620.25,50.48,1442.69,67.94,456.94,66.89,52.01,48.97,8,69.58,57.42,54.96,45.68,48.03,5,42.44,4.01,6572.63,49.43,Impulsive
84.09,987.12,100.0,1116.29,78.56,208.37,86.44,90.88,78.86,2,71.88,79.82,90.71,81.9,82.78,1,92.83,3.07,4724.96,84.15,Efficient
32.18,1199.86,36.71,1165.43,20.0,480.03,59.14,53.72,51.44,4,50.62,33.63,38.01,40.69,41.36,3,28.5,4.3,6381.79,37.53,Inconsistent
82.5,1469.38,89.6,1923.58,95.84,585.05,82.05,95.7,82.84,1,93.07,83.44,77.91,97.23,77.15,0,75.96,2.8,5380.51,83.63,Careful
73.4,2053.7,75.31,2133.91,65.43,419.33,63.71,73.44,69.17,2,77.69,73.49,80.71,66.71,78.98,2,88.75,2.97,6430.22,74.33,Careful
98.26,1050.38,79.61,989.46,93.99,297.17,91.34,99.83,89.78,4,88.38,98.73,100.0,94.74,100.0,0,91.63,1.65,4819.28,92.66,Efficient
27.98,959.71,42.14,1113.34,22.32,510.19,37.86,32.21,34.47,8,30.24,28.01,31.73,40.21,33.29,6,39.42,4.88,6607.92,34.43,Impulsive
89.0,1500.14,99.79,1864.45,97.41,637.45,82.44,90.95,87.48,4,88.01,99.77,95.6,84.85,92.39,2,83.79,2.68,5764.34,91.2,Efficient
81.82,1496.1,80.09,1252.42,94.83,699.81,86.57,87.69,91.25,5,98.2,96.82,89.52,82.98,88.63,5,84.85,2.29,4757.89,89.39,Inconsistent
46.05,938.01,70.82,893.58,56.14,492.48,68.12,70.68,62.36,10,65.18,64.54,55.77,48.36,63.93,7,43.78,3.73,7304.21,56.99,Impulsive
75.38,1650.31,65.35,1472.46,84.0,322.63,77.73,77.94,72.85,0,75.38,84.2,86.35,84.67,65.49,3,76.23,2.44,5702.54,76.05,Careful
51.87,1265.2,63.64,1074.07,49.86,371.49,56.42,60.17,55.46,11,60.51,60.38,53.29,64.39,53.73,7,80.44,3.3,6581.23,57.73,Impulsive
